U_wej,U_wyj
[mV],[V]
50,"3,2"
60,"3,76"
75,"4,68"
90,"5,56"
100,"6,16"
110,"6,76"
125,"7,52"
140,"8,32"
150,"8,8"
160,"9,2"
175,"9,6"
190,"9,84"
200,"9,92"
225,"10,2"
250,"10,3"
275,"10,4"
300,"10,4"
325,"10,5"
