I_B,U_B,I_C,Komentarze
na amperomierzu - baza,vkolektor,"prąd emiterana, na oporniku 20 Ohm (obliczony U_B / R > U_B/20)",dokładność
[uA],[mV],[mA],"prąd bazy: 0,1 uA"
"6,1",20,1,prąd kolektora: 2 mA
"12,3",40,2,
"18,6",60,3,
"24,6",80,4,
"31,1",100,5,
"37,1",120,6,
"43,4",140,7,
